id,original_text,suggested_rewrite,ml_tier,ml_confidence,final_tier,decided_by,user_action,published_text,created_at,participant_id
"1","ndaldsakdasljdksaaj","ndaldsakdasljdksaaj","0","0.8827","0","llm","direct_posted","ndaldsakdasljdksaaj","2026-08-21 13:26:48",
"2","Bu fotoğrafta bu kadar kilo almış birini görmek gerçekten çok kötü olmuş, hiç böyle paylaşmamalıydın.","Fotoğraf seçimini pek beğenmedim, farklı bir kare tercih edebilirdin.","0","0.8181","2","llm",,,"2026-08-22 04:43:26",
"3","Paran yoksa orda ne işin var","Bütçeniz uygun değilse orada bulunmanız zor bir tercih olabilir.","0","0.9024","1","llm","original_posted","Paran yoksa orda ne işin var","2026-08-22 16:25:23",
"4","Senin kel kafana yakisiyor boyle seyler","Böyle şeyler sana çok yakışıyor.","1","0.5753","2","llm",,,"2026-08-22 16:27:23",
"5","Bu konuda tamamen yanılıyorsun, üstelik senin gibi bir şeyi anlamayan biriyle tartışmak zaman kaybı.","Bu konuda tamamen yanıldığınızı düşünüyorum, bu yüzden bu tartışmayı sürdürmeyi gerekli görmüyorum.","0","0.6956","2","llm","abandoned",,"2026-08-22 17:46:49",
"6","Bu konuda tamamen yanılıyorsun, üstelik senin gibi bir şeyi anlamayan biriyle tartışmak zaman kaybı.","Bu konuda tamamen yanılıyorsun, farklı görüşlerde olduğumuz için bu tartışmayı daha fazla sürdürmek istemiyorum.","0","0.6956","2","llm","abandoned",,"2026-08-22 18:36:52","P01"
"7","KATIKLIYORSUN","Katılıyorsun.","0","0.8827","0","llm","direct_posted","KATIKLIYORSUN","2026-08-22 19:21:43","P09"
"8","Bu konuda sana katılmıyorum ama bakış açını anlayabiliyorum.","Bu konuda sana katılmıyorum ama bakış açını anlayabiliyorum.","0","0.9557","0","llm","direct_posted","Bu konuda sana katılmıyorum ama bakış açını anlayabiliyorum.","2026-08-22 19:25:42","TESTER 1"
"9","Bence bu proje biraz daha geliştirilirse çok daha başarılı olabilir.","Bence bu proje biraz daha geliştirilirse çok daha başarılı olabilir.","0","0.9038","0","llm","direct_posted","Bence bu proje biraz daha geliştirilirse çok daha başarılı olabilir.","2026-08-22 19:25:54","TESTER 1"
"10","Bu kadar basit bir konuyu neden bu kadar büyütüyorsunuz anlamıyorum.","Bu konunun bu kadar büyütülecek bir durum olmadığını düşünüyorum.","0","0.8357","0","llm","direct_posted","Bu kadar basit bir konuyu neden bu kadar büyütüyorsunuz anlamıyorum.","2026-08-22 19:26:09","TESTER 1"
"11","Her zamanki gibi yine hiçbir şeyi düzgün yapamamışlar.","Yapılan işlerin beklentileri karşılamadığını düşünüyorum.","0","0.8857","0","llm","direct_posted","Her zamanki gibi yine hiçbir şeyi düzgün yapamamışlar.","2026-08-22 19:26:29","TESTER 1"
"12","Bu kadar bilgisiz olup hâlâ insanlara tavsiye vermen komik.","Konu hakkında yeterli bilgiye sahip olmadan tavsiye verilmesini doğru bulmuyorum.","0","0.5383","1","llm","rewrite_used","Konu hakkında yeterli bilgiye sahip olmadan tavsiye verilmesini doğru bulmuyorum.","2026-08-22 19:26:50","TESTER 1"
"13","Sesini duyunca videoyu kapatmak istedim, inanılmaz rahatsız edicisin.","Ses tonu bana hitap etmediği için videoyu izlemeye devam edemedim.","0","0.8752","2","llm","original_posted","Sesini duyunca videoyu kapatmak istedim, inanılmaz rahatsız edicisin.","2026-08-22 19:27:17","TESTER 1"
"14","Ne kadar salak bir insansın ya.","Bu konuda mantıklı davranmadığınızı düşünüyorum.","1","0.9352","1","ml","abandoned",,"2026-08-22 19:28:04","TESTER 1"
"15","Ne biçim bir embesilsin, bunu bile anlamamışsın.","Bu konuyu anlayamamış görünüyorsun.","0","0.8984","2","llm","original_posted","Ne biçim bir embesilsin, bunu bile anlamamışsın.","2026-08-22 19:28:34","TESTER 1"
"16","Yaptığın iş rezalet, tam bir aptalsın.","Yaptığın işi hiç beğenmedim, kalitesini çok yetersiz buluyorum.","1","0.8368","2","llm","rewrite_used","Yaptığın işi hiç beğenmedim, kalitesini çok yetersiz buluyorum.","2026-08-22 19:30:25","TESTER 2"
"17","Siktir git, senden fikir isteyen olmadı.","Bu konuda sizin görüşünüze başvurmamıştım.","1","0.8922","3","llm","rewrite_used","Bu konuda sizin görüşünüze başvurmamıştım.","2026-08-22 19:30:57","TESTER 2"
"18","O kadar kötü görünüyorsun ki fotoğrafı neden paylaştığını anlamadım.","Bu fotoğrafın konseptini ve kalitesini pek beğenemedim.","0","0.9798","2","llm","original_posted","O kadar kötü görünüyorsun ki fotoğrafı neden paylaştığını anlamadım.","2026-08-22 19:31:22","TESTER 2"
"19","Bu işi yapabilecek kapasitede olmadığın çok belli.","Bu iş için henüz yeterli tecrübe ve yetkinliğe sahip olmadığını düşünüyorum.","0","0.7282","1","llm","abandoned",,"2026-08-22 19:31:40","TESTER 2"
"20","Önce konuşmayı öğren, sonra insanlara fikir vermeye çalışırsın.","Fikirlerinizi paylaşmadan önce iletişim dilinize özen göstermeniz daha faydalı olabilir.","1","0.6135","1","llm","original_posted","Önce konuşmayı öğren, sonra insanlara fikir vermeye çalışırsın.","2026-08-22 19:32:02","TESTER 2"
"21","Kendini çok zeki sanıyorsun ama söylediklerin tam tersini gösteriyor.","Söylediklerinizin ifadelerinizle çeliştiğini ve ikna edici olmadığını düşünüyorum.","0","0.8719","1","llm","original_posted","Kendini çok zeki sanıyorsun ama söylediklerin tam tersini gösteriyor.","2026-08-22 19:32:38","TESTER 2"
