tweet,label
merkeze indim. önüm arkam sağım solum suriyeli amk,nefret
"Bu Kavga Hak İle Batılın Kavgasıdır Artık
Devletimiz Varolsun
Polisimiz Var Olsun
Yunan Çekilirken Tohum Bırakmayı ihmal Etmemiş Anlaşılan
#DevletiminYanındayim
#PolisiminYanımdayım https://t.co/VX4JqqdxUj",nefret
sen de arap maymununa benzemissin,nefret
rumlar üç beş ingiizin aklına uyup kan dökmeseydi ne savaş çıkardı aramızda ne de mübadele olurdu rumlar anadoluda türklere soykırım girişiminde bulunmasa. https://t.co/6Pkx7qKgGf,nefret
"yunan baklavayi yogurdu çalar, galatasaray üçlümüzü..

tamam lan gol olsun.

 #ÜçlüBesiktasinÜçünBiriGsnin",nefret
"Pkk'li Teröristlerin Ve Ermeni Canilerin Yilmaz Savunucusu Canan Kaftancioglu 9 Yil 8 Ay 20 Gün Hapse Mahkum Edildi.

Var Olsun Devlet 
Var Olsun Millet LINK",nefret
7 Eylül; Türk Ordusunun Baskomutan Mustafa Kemal Atatürk önderliginde Aydin'in Yunan Isgalinden Kurtulus Günüdür. Kurtulus Günümüz Kutlu Olsun ????????,nefret
yakizzder Takimi agir ödeme yükünden kurtarmacam diye küme düsürtmeyende ...Böyle stratejinin içine edeyim Çömeli ile Çocuk ya bu kadar para vermezdin. Yine sponsor bulurdun Satilmayacak adamlari sattiniz Valbuena yanda satinda adam kurtulsun.,nefret
Vatanımda suriyeli İS-TE-Mİ-YO-RUM. Defolun lan vatanımdan #VatandaşlıkVermeYolVer,nefret
Su canan kaftancioglu denen ermeni dölü pkk li vatan hainini içeri atacak bi mahkeme yokmu ya,nefret
"Bu mevzuda, yıllardır israille mavi balina dışında sıcak çatışmaya girmediğimiz için masonbahçemizin arkasındayız. Ancak geçtiğimiz yıllarda yunan ve fransızdan illallah etmiş milletimiz jimnastikçilere ve fransız kulüplerine fırsat vermemelidir.",nefret
Fatih t*zcan hani müslümandin lan yahudi dölü LINK,nefret
British exit sonrası Ankara anlaşması ne olacak Avrupa birliği ile iş için giden Türklerin durumu ne olacak?! İngiltere ekonomide küçülmeye giden Avrupa'nın karşısında brexit ile akillica davrandı. Tembel Yunan ve boktan Bulgarları beslemeye devam edin,nefret
Daha silah tutmayı bilmeyip tek bir atışla silikonlu dudakları ve dişlerinin dağılacağını anlamayan ama Türk öldürmeyi hayal eden ermeni kaşarı kombini 👇🏻 https://t.co/vcx0IZJDMx,nefret
